eps cap
0.002 3.253649166
0.002163685691 3.253355227
0.002340767884 3.253037392
0.002532342988 3.252693733
0.002739597144 3.252322168
0.002963813569 3.251920452
0.003206380505 3.251486159
0.003468799809 3.251016676
0.003752696255 3.250509183
0.004059827594 3.249960689
0.004392095436 3.249367885
0.004751557024 3.248727232
0.005140437971 3.248034925
0.00556114604 3.24728687
0.006016286056 3.246478658
0.006508676025 3.245605547
0.007041364591 3.244662436
0.007617649904 3.243643842
0.008241100047 3.242543876
0.008915575124 3.241356214
0.00964525116 3.24007407
0.01043464596 3.238690171
0.01128864708 3.237196722
0.01221254207 3.235585396
0.01321205126 3.233847314
0.01429336313 3.231972879
0.01546317264 3.229951914
0.01672872269 3.227773569
0.01809784895 3.225426292
0.01957902841 3.222897803
0.0211814318 3.220175064
0.02291498045 3.217244263
0.02479040765 3.214090789
0.02681932515 3.210699285
0.02901429503 3.207053662
0.03138890749 3.203136755
0.03395786499 3.198930722
0.03673707329 3.194416931
0.0397437399 3.189576001
0.04299648066 3.184387841
0.04651543497 3.178831724
0.05032239052 3.172886799
0.05444091815 3.166532228
0.0588965178 3.159745096
0.0637167764 3.152503281
0.06893153867 3.14478687
0.07457309193 3.136573406
0.08067636596 3.127842027
0.08727914931 3.118575249
0.09442232323 3.108753213
0.1021501148 3.098361112
0.1105103709 3.087386573
0.1195548541 3.075817933
0.1293395635 3.063649376
0.1399250814 3.050879344
0.1513769482 3.037511081
0.1637660684 3.023553139
0.1771691494 3.009025019
0.1916691767 2.993947085
0.2073559275 2.978354761
0.2243265266 2.962291484
0.2426860478 2.94580852
0.2625481645 2.928970191
0.2840358533 2.911852536
0.3072821557 2.89454424
0.3324310017 2.877146744
0.3596381008 2.859773141
0.3890719062 2.842551143
0.4209146581 2.825619591
0.4553635113 2.80913115
0.4926317568 2.793246912
0.5329501415 2.778142311
0.5765682975 2.764000157
0.6237562875 2.751013517
0.6748062769 2.739386213
0.7300343427 2.729329479
0.7897824305 2.721067565
0.8544204718 2.714837035
0.9243486744 2.710892509
1 2.709511291
