w F
0.0001 -110374.2497
0.000107170483 -110371.1066
0.0001148551242 -110367.7382
0.0001230907914 -110364.1284
0.0001319169956 -110360.26
0.0001413760814 -110356.1144
0.0001515134292 -110351.6717
0.0001623776739 -110346.9108
0.0001740209374 -110341.8088
0.0001864990791 -110336.3413
0.0001998719639 -110330.4822
0.000214203749 -110324.2034
0.0002295631924 -110317.4749
0.0002460239821 -110310.2645
0.0002636650899 -110302.5379
0.0002825711503 -110294.258
0.0003028328666 -110285.3854
0.0003245474457 -110275.8776
0.0003478190651 -110265.6892
0.000372759372 -110254.7718
0.0003994880194 -110243.0731
0.0004281332399 -110230.5374
0.000458832461 -110217.1049
0.0004917329646 -110202.7118
0.0005269925932 -110187.2893
0.0005647805074 -110170.7643
0.0006052779976 -110153.058
0.0006486793535 -110134.0863
0.0006951927962 -110113.7592
0.0007450414774 -110091.9801
0.0007984645498 -110068.6458
0.0008557183145 -110043.6456
0.0009170774507 -110016.8613
0.0009828363333 -109988.1662
0.001053310445 -109957.4247
0.001128837892 -109924.4917
0.001209781021 -109889.212
0.001296528163 -109851.4195
0.001389495494 -109810.9365
0.001489129032 -109767.5729
0.001595906776 -109721.1255
0.001710341 -109671.3769
0.001832980711 -109618.0948
0.001964414281 -109561.0308
0.002105272273 -109499.9194
0.002256230463 -109434.4768
0.002418013085 -109364.4001
0.002591396301 -109289.3656
0.002777211932 -109209.0276
0.002976351442 -109123.0172
0.003189770215 -109030.9405
0.003418492146 -108932.3774
0.003663614544 -108826.8799
0.003926313402 -108713.9703
0.004207849036 -108593.1393
0.004509572136 -108463.8446
0.004832930239 -108325.5087
0.005179474679 -108177.5167
0.00555086803 -108019.2147
0.005948892078 -107849.9075
0.006375456372 -107668.8561
0.006832607387 -107475.276
0.007322538338 -107268.3346
0.007847599704 -107047.149
0.008410310505 -106810.7839
0.00901337039 -106558.2488
0.00965967258 -106288.4964
0.01035231776 -106000.4202
0.01109462894 -105692.852
0.01189016742 -105364.5606
0.01274274986 -105014.2499
0.01365646657 -104640.5568
0.01463570118 -104242.0508
0.01568515164 -103817.2324
0.01680985277 -103364.5331
0.01801520041 -102882.3151
0.01930697729 -102368.8721
0.02069138081 -101822.4306
0.02217505275 -101241.1519
0.02376511114 -100623.1353
0.02546918439 -99966.42206
0.02729544792 -99269.00068
0.02925266337 -98528.81365
0.03135022063 -97743.76544
0.03359818286 -96911.7323
0.03600733485 -96030.57388
0.03858923467 -95098.14671
0.04135626918 -94112.31994
0.04432171342 -93070.99332
0.04749979435 -91972.11756
0.05090575902 -90813.71728
0.05455594781 -89593.9165
0.05846787277 -88310.9668
0.06266030164 -86963.27813
0.06715334791 -85549.45215
0.0719685673 -84068.31795
0.07712906118 -82518.96994
0.08265958739 -80900.8076
0.08858667904 -79213.57653
0.09493877179 -77457.41033
0.1017463403 -75632.87251
0.1090420443 -73740.99768
0.1168608855 -71783.33096
0.1252403755 -69761.96451
0.1342207153 -67679.56995
0.1438449888 -65539.42539
0.1541593693 -63345.43558
0.1652133406 -61102.14374
0.1770599351 -58814.73387
0.1897559877 -56489.02186
0.2033624085 -54131.43456
0.2179444754 -51748.97567
0.2335721469 -49349.17771
0.250320398 -46940.04007
0.2682695795 -44529.95291
0.2875058041 -42127.60781
0.3081213589 -39741.89627
0.3302151485 -37381.79765
0.3538931695 -35056.25903
0.3792690191 -32774.06951
0.4064644396 -30543.73222
0.4356099031 -28373.33758
0.4668452371 -26270.44123
0.5003202954 -24241.95062
0.5361956771 -22294.02349
0.5746434969 -20431.98162
0.6158482111 -18660.24257
0.6600075023 -16982.27129
0.707333228 -15400.55328
0.7580524368 -13916.58949
0.8124084578 -12530.91293
0.8706620681 -11243.12572
0.9330927435 -10051.95471
1 -8955.323283
1.07170483 -7950.436248
1.148551242 -7033.874554
1.230907914 -6201.696363
1.319169956 -5449.541032
1.413760814 -4772.732754
1.515134292 -4166.380904
1.623776739 -3625.47457
1.740209374 -3144.969214
1.864990791 -2719.863956
1.998719639 -2345.268477
2.14203749 -2016.459045
2.295631924 -1728.923619
2.460239821 -1478.396368
2.636650899 -1260.882262
2.825711503 -1072.6726
3.028328666 -910.3525462
3.245474457 -770.8017693
3.478190651 -651.1893662
3.72759372 -548.9641843
3.994880194 -461.8416114
4.281332399 -387.7878064
4.58832461 -325.002229
4.917329646 -271.8992125
5.269925932 -227.0891947
5.647805074 -189.3601105
6.052779976 -157.6593345
6.486793535 -131.0764665
6.951927962 -108.8271619
7.450414774 -90.23814098
7.984645498 -74.73344355
8.557183145 -61.82195186
9.170774507 -51.08616398
9.828363333 -42.17217214
10.53310445 -34.78078104
11.28837892 -28.65968732
12.09781021 -23.5966343
12.96528163 -19.41345285
13.89495494 -15.96089943
14.89129032 -13.11420509
15.95906776 -10.7692537
17.10341 -8.839313189
18.32980711 -7.252249884
19.64414281 -5.948162302
21.05272273 -4.877377581
22.56230463 -3.998759714
24.18013085 -3.278284896
25.91396301 -2.687844735
27.77211932 -2.204243201
29.76351442 -1.808357719
31.89770215 -1.48443894
34.18492146 -1.219527341
36.63614544 -1.002967984
39.26313402 -0.8260075707
42.07849036 -0.6814603316
45.09572136 -0.5634313617
48.32930239 -0.4670878347
51.79474679 -0.3884700273
55.5086803 -0.3243354047
59.48892078 -0.2720301152
63.75456372 -0.2293831798
68.32607387 -0.1946194464
73.22538338 -0.1662880411
78.47599704 -0.143203605
84.10310505 -0.1243980657
90.1337039 -0.109081083
96.5967258 -0.09660762845
103.5231776 -0.08645142909
110.9462894 -0.07818322544
118.9016742 -0.07145298107
127.4274986 -0.06597533225
136.5646657 -0.06151769287
146.3570118 -0.05789053439
156.8515164 -0.05493944593
168.0985277 -0.05253865115
180.1520041 -0.05058571612
193.0697729 -0.04899723107
206.9138081 -0.04770528758
221.7505275 -0.04665460568
237.6511114 -0.04580019143
254.6918439 -0.04510542758
272.9544792 -0.04454051751
292.5266337 -0.04408121739
313.5022063 -0.04370780345
335.9818286 -0.0434042307
360.0733485 -0.04315744799
385.8923467 -0.04295684026
413.5626918 -0.04279377447
443.2171342 -0.04266123005
474.9979435 -0.04255349811
509.0575902 -0.04246593666
545.5594781 -0.04239477143
584.6787277 -0.04233693388
626.6030164 -0.04228992931
671.5334791 -0.04225172969
719.685673 -0.04222068642
771.2906118 -0.0421954594
826.5958739 -0.04217495934
885.8667904 -0.04215830085
949.3877179 -0.0421447643
1017.463403 -0.04213376482
1090.420443 -0.04212482704
1168.608855 -0.04211756465
1252.403755 -0.04211166368
1342.207153 -0.04210686899
1438.449888 -0.04210297323
1541.593693 -0.04209980791
1652.133406 -0.0420972361
1770.599351 -0.04209514655
1897.559877 -0.04209344884
2033.624085 -0.04209206951
2179.444754 -0.04209094886
2335.721469 -0.04209003839
2503.20398 -0.04208929869
2682.695795 -0.04208869773
2875.058041 -0.0420882095
3081.213589 -0.04208781285
3302.151485 -0.04208749061
3538.931695 -0.04208722882
3792.690191 -0.04208701615
4064.644396 -0.04208684338
4356.099031 -0.04208670302
4668.452371 -0.042086589
5003.202954 -0.04208649637
5361.956771 -0.04208642113
5746.434969 -0.04208636
6158.482111 -0.04208631035
6600.075023 -0.04208627001
7073.33228 -0.04208623725
7580.524368 -0.04208621064
8124.084578 -0.04208618902
8706.620681 -0.04208617146
9330.927435 -0.04208615719
10000 -0.04208614561
10717.0483 -0.0420861362
11485.51242 -0.04208612855
12309.07914 -0.04208612235
13191.69956 -0.0420861173
14137.60814 -0.04208611321
15151.34292 -0.04208610988
16237.76739 -0.04208610718
17402.09374 -0.04208610499
18649.90791 -0.04208610321
19987.19639 -0.04208610176
21420.3749 -0.04208610059
22956.31924 -0.04208609963
24602.39821 -0.04208609886
26366.50899 -0.04208609823
28257.11503 -0.04208609772
30283.28666 -0.0420860973
32454.74457 -0.04208609697
34781.90651 -0.04208609669
37275.9372 -0.04208609647
39948.80194 -0.04208609629
42813.32399 -0.04208609615
45883.2461 -0.04208609603
49173.29646 -0.04208609593
52699.25932 -0.04208609585
56478.05074 -0.04208609579
60527.79976 -0.04208609574
64867.93535 -0.0420860957
69519.27962 -0.04208609566
74504.14774 -0.04208609564
79846.45498 -0.04208609561
85571.83145 -0.0420860956
91707.74507 -0.04208609558
