x y
0 0
0.01949152542 0.06527451427
0.03898305085 0.1305490285
0.05847457627 0.1958235428
0.07796610169 0.2610980571
0.09745762712 0.3263725713
0.1169491525 0.3916470856
0.136440678 0.4569215999
0.1559322034 0.5221961141
0.1754237288 0.5874706284
0.1949152542 0.6527451427
0.2144067797 0.7180196569
0.2338983051 0.7832941712
0.2533898305 0.8485686855
0.2728813559 0.9138431997
0.2923728814 0.979117714
0.3118644068 1.044392228
0.3313559322 1.109666743
0.3508474576 1.174941257
0.3703389831 1.240215771
0.3898305085 1.305490285
0.4093220339 1.3707648
0.4288135593 1.436039314
0.4483050847 1.501313828
0.4677966102 1.566588342
0.4872881356 1.631862857
0.506779661 1.697137371
0.5262711864 1.762411885
0.5457627119 1.827686399
0.5652542373 1.892960914
0.5847457627 1.958235428
0.6042372881 2.023509942
0.6237288136 2.088784457
0.643220339 2.154058971
0.6627118644 2.219333485
0.6822033898 2.284607999
0.7016949153 2.349882514
0.7211864407 2.415157028
0.7406779661 2.480431542
0.7601694915 2.545706056
0.7796610169 2.610980571
0.7991525424 2.676255085
0.8186440678 2.741529599
0.8381355932 2.806804113
0.8576271186 2.872078628
0.8771186441 2.937353142
0.8966101695 3.002627656
0.9161016949 3.067902171
0.9355932203 3.133176685
0.9550847458 3.198451199
0.9745762712 3.263725713
0.9940677966 3.329000228
1.013559322 3.394274742
1.033050847 3.459549256
1.052542373 3.52482377
1.072033898 3.590098285
1.091525424 3.655372799
1.111016949 3.720647313
1.130508475 3.785921827
1.15 3.851196342
