T kht sh kdt sd gobs
5 1.792 0.0131909 1.3675 0.00946485 1.863775269
15 1.7975 0.0143614 1.34571 0.00368856 1.974920332
25 1.5375 0.0110868 1.2325 0.00478714 2.057731533
35 1.90576 0.0153607 1.30957 0.00524281 2.391114776
