x y
0.6830968447 1.601405741
0.6780335427 1.642872689
0.6678293726 1.711994501
0.6626879731 1.72455072
0.6575200029 1.805004696
0.737164066 1.625311262
0.7080357931 1.722766598
0.6931471806 1.726331664
0.6678293726 1.742219024
0.652325186 1.86252854
0.6575200029 1.650579856
0.5933268453 1.60341984
0.4252677354 1.264126727
0.2546422184 0.6575200029
0.39877612 0.8595087178
0.4485245976 0.9969486349
0.4787155698 1.115797113
0.5068176024 1.236197952
0.3129842553 0.5833323146
0.2969143238 0.5863968106
0.2090446269 0.4301577207
0.2697217471 0.6449018679
0.476234179 1.121677562
0.5653138091 1.515127233
0.5877866649 1.648658626
0.5933268453 1.742219024
0.5988365011 1.83736998
0.6881346387 1.845300236
0.652325186 1.829376333
0.6151856391 1.827769907
0.5877866649 1.805004696
0.5423242908 1.742219024
0.6471032421 1.633154439
0.5988365011 1.621366483
0.5709795466 1.589235205
0.5364933705 1.5518088
0.4824261492 1.512927012
0.3920420878 1.061256502
0.5007752879 1.617406082
0.5007752879 1.613429934
0.4054651081 0.8754687374
0.476234179 1.190887565
0.4946962418 1.410986974
0.5247285289 1.591273942
0.5306282511 1.619388243
0.4121096508 1.131402111
0.4510756194 1.305626458
0.4885800148 1.560247668
0.5068176024 1.578978705
0.5068176024 1.568615918
0.5007752879 1.568615918
0.3435897044 0.6471032421
0.3293037471 0.6931471806
0.3074846997 0.6575200029
0.2700271372 0.6418538862
0.3646431136 0.6780335427
0.5306282511 1.101940079
0.5596157879 1.131402111
0.5766133643 1.229640551
0.3920420878 0.6365768291
0.4700036292 0.8285518176
0.3576744443 0.6151856391
0.5306282511 0.9783261228
0.4510756194 1.376244025
0.4317824164 1.280933845
0.4187103349 1.220829921
0.4054651081 1.153731588
0.3920420878 1.105256831
0.4946962418 1.418277407
0.4824261492 1.378766095
0.4700036292 1.327075001
0.4510756194 1.261297871
0.4382549309 1.223775432
0.9958410106 2.567254391
0.9943622673 3.064791809
0.9017860457 2.825536897
1.063330475 3.363495514
1.061948304 3.317453388
0.9895411936 3.090132949
0.9673640021 3.067587711
0.9435167181 2.918851229
0.9198842674 2.857618971
0.9190868192 2.834389123
