s expo off
68.5678 3.343500 -0.04208610
71.9211 3.343747 -0.04208610
75.4383 3.343984 -0.04208610
79.1276 3.344209 -0.04208610
82.9972 3.344424 -0.04208610
87.0561 3.344630 -0.04208610
91.3135 3.344826 -0.04208610
95.7791 3.345013 -0.04208610
100.463 3.345191 -0.04208610
105.376 3.345361 -0.04208610
110.53 3.345524 -0.04208610
115.935 3.345678 -0.04208610
121.605 3.345826 -0.04208610
127.552 3.345967 -0.04208610
133.789 3.346102 -0.04208610
140.332 3.346230 -0.04208610
147.195 3.346352 -0.04208610
154.393 3.346469 -0.04208610
161.944 3.346580 -0.04208610
169.864 3.346686 -0.04208610
178.171 3.346787 -0.04208610
186.884 3.346884 -0.04208610
196.023 3.346976 -0.04208610
205.61 3.347064 -0.04208610
215.665 3.347148 -0.04208610
226.212 3.347227 -0.04208610
237.274 3.347304 -0.04208610
248.878 3.347376 -0.04208610
261.049 3.347446 -0.04208610
273.816 3.347512 -0.04208610
287.206 3.347575 -0.04208610
301.252 3.347635 -0.04208610
315.984 3.347692 -0.04208610
331.437 3.347747 -0.04208610
347.646 3.347799 -0.04208610
364.647 3.347848 -0.04208610
382.48 3.347896 -0.04208610
401.185 3.347941 -0.04208610
420.804 3.347984 -0.04208610
441.383 3.348025 -0.04208610
462.969 3.348064 -0.04208610
485.61 3.348102 -0.04208610
509.358 3.348137 -0.04208610
534.268 3.348171 -0.04208610
560.396 3.348204 -0.04208610
587.802 3.348234 -0.04208610
616.548 3.348264 -0.04208610
646.699 3.348292 -0.04208610
678.325 3.348319 -0.04208610
711.498 3.348344 -0.04208610
746.294 3.348368 -0.04208610
782.79 3.348392 -0.04208610
821.072 3.348414 -0.04208610
861.226 3.348435 -0.04208610
903.343 3.348455 -0.04208610
947.521 3.348474 -0.04208610
993.858 3.348492 -0.04208610
1042.46 3.348510 -0.04208610
1093.44 3.348526 -0.04208610
1146.92 3.348542 -0.04208610
1203.01 3.348557 -0.04208610
1261.84 3.348572 -0.04208610
1323.55 3.348586 -0.04208610
1388.27 3.348599 -0.04208610
1456.17 3.348611 -0.04208610
1527.38 3.348623 -0.04208610
1602.07 3.348634 -0.04208610
1680.42 3.348645 -0.04208610
1762.6 3.348655 -0.04208610
1848.8 3.348665 -0.04208610
1939.21 3.348675 -0.04208610
2034.05 3.348684 -0.04208610
2133.52 3.348692 -0.04208610
2237.86 3.348700 -0.04208610
2347.3 3.348708 -0.04208610
2462.09 3.348715 -0.04208610
2582.5 3.348722 -0.04208610
2708.79 3.348729 -0.04208610
2841.26 3.348736 -0.04208610
2980.21 3.348742 -0.04208610
3125.96 3.348747 -0.04208610
3278.83 3.348753 -0.04208610
3439.18 3.348758 -0.04208610
3607.37 3.348763 -0.04208610
3783.78 3.348768 -0.04208610
3968.83 3.348773 -0.04208610
4162.92 3.348777 -0.04208610
4366.5 3.348781 -0.04208610
4580.04 3.348785 -0.04208610
4804.03 3.348789 -0.04208610
5038.96 3.348793 -0.04208610
5285.39 3.348796 -0.04208610
5543.87 3.348799 -0.04208610
5814.98 3.348802 -0.04208610
6099.36 3.348805 -0.04208610
6397.64 3.348808 -0.04208610
6710.52 3.348811 -0.04208610
7038.69 3.348814 -0.04208610
7382.91 3.348816 -0.04208610
7743.96 3.348818 -0.04208610
8122.67 3.348821 -0.04208610
8519.91 3.348823 -0.04208610
8936.56 3.348825 -0.04208610
9373.6 3.348827 -0.04208610
9832.01 3.348829 -0.04208610
10312.8 3.348830 -0.04208610
10817.2 3.348832 -0.04208610
11346.2 3.348834 -0.04208610
11901.1 3.348835 -0.04208610
12483.1 3.348837 -0.04208610
13093.5 3.348838 -0.04208610
13733.9 3.348839 -0.04208610
14405.5 3.348841 -0.04208610
15110 3.348842 -0.04208610
15848.9 3.348843 -0.04208610
