w F
0.0001 -110.3742607
0.000107170483 -110.3711184
0.0001148551242 -110.3677508
0.0001230907914 -110.364142
0.0001319169956 -110.3602745
0.0001413760814 -110.3561299
0.0001515134292 -110.3516884
0.0001623776739 -110.3469287
0.0001740209374 -110.341828
0.0001864990791 -110.3363619
0.0001998719639 -110.3305042
0.000214203749 -110.324227
0.0002295631924 -110.3175002
0.0002460239821 -110.3102917
0.0002636650899 -110.302567
0.0002825711503 -110.2942892
0.0003028328666 -110.2854188
0.0003245474457 -110.2759133
0.0003478190651 -110.2657276
0.000372759372 -110.2548128
0.0003994880194 -110.2431171
0.0004281332399 -110.2305845
0.000458832461 -110.2171555
0.0004917329646 -110.2027659
0.0005269925932 -110.1873474
0.0005647805074 -110.1708265
0.0006052779976 -110.1531247
0.0006486793535 -110.1341578
0.0006951927962 -110.1138358
0.0007450414774 -110.0920621
0.0007984645498 -110.0687337
0.0008557183145 -110.0437399
0.0009170774507 -110.0169623
0.0009828363333 -109.9882744
0.001053310445 -109.9575407
0.001128837892 -109.924616
0.001209781021 -109.8893452
0.001296528163 -109.8515621
0.001389495494 -109.8110893
0.001489129032 -109.7677366
0.001595906776 -109.7213009
0.001710341 -109.6715649
0.001832980711 -109.6182963
0.001964414281 -109.5612466
0.002105272273 -109.5001506
0.002256230463 -109.4347246
0.002418013085 -109.3646656
0.002591396301 -109.28965
0.002777211932 -109.2093323
0.002976351442 -109.1233436
0.003189770215 -109.0312901
0.003418492146 -108.932752
0.003663614544 -108.8272811
0.003926313402 -108.7144
0.004207849036 -108.5935996
0.004509572136 -108.4643376
0.004832930239 -108.3260367
0.005179474679 -108.1780822
0.00555086803 -108.0198203
0.005948892078 -107.850556
0.006375456372 -107.6695505
0.006832607387 -107.4760196
0.007322538338 -107.2691307
0.007847599704 -107.0480014
0.008410310505 -106.8116963
0.00901337039 -106.5592255
0.00965967258 -106.2895419
0.01035231776 -106.001539
0.01109462894 -105.6940494
0.01189016742 -105.3658419
0.01274274986 -105.0156207
0.01365646657 -104.6420233
0.01463570118 -104.2436195
0.01568515164 -103.8189102
0.01680985277 -103.3663272
0.01801520041 -102.8842334
0.01930697729 -102.3709229
0.02069138081 -101.8246226
0.02217505275 -101.2434944
0.02376511114 -100.6256381
0.02546918439 -99.96909558
0.02729544792 -99.27185595
0.02925266337 -98.53186228
0.03135022063 -97.74701971
0.03359818286 -96.91520515
0.03600733485 -96.0342789
0.03858923467 -95.10209822
0.04135626918 -94.11653296
0.04432171342 -93.0754836
0.04749979435 -91.97690159
0.05090575902 -90.81881227
0.05455594781 -89.59934041
0.05846787277 -88.31673833
0.06266030164 -86.9694167
0.06715334791 -85.55597788
0.0719685673 -84.07525162
0.07712906118 -82.526333
0.08265958739 -80.90862209
0.08858667904 -79.22186503
0.09493877179 -77.4661959
0.1017463403 -75.64217861
0.1090420443 -73.75084809
0.1168608855 -71.79374967
0.1252403755 -69.77297561
0.1342207153 -67.6911975
0.1438449888 -65.5516933
0.1541593693 -63.35836742
0.1652133406 -61.11576262
0.1770599351 -58.82906222
0.1897559877 -56.50408129
0.2033624085 -54.14724567
0.2179444754 -51.7655578
0.2335721469 -49.36654882
0.250320398 -46.95821649
0.2682695795 -44.54894916
0.2875058041 -42.14743643
0.3081213589 -39.76256761
0.3302151485 -37.40331976
0.3538931695 -35.07863748
0.3792690191 -32.79730729
0.4064644396 -30.56782964
0.4356099031 -28.39829221
0.4668452371 -26.29624785
0.5003202954 -24.26860123
0.5361956771 -22.32150736
0.5746434969 -20.46028534
0.6158482111 -18.68935013
0.6600075023 -17.01216427
0.707333228 -15.43121094
0.7580524368 -13.94798902
0.8124084578 -12.56302966
0.8706620681 -11.27593331
0.9330927435 -10.08542544
1 -8.989428298
1.07170483 -7.985145813
1.148551242 -7.069158327
1.230907914 -6.237523648
1.319169956 -5.485881027
1.413760814 -4.809554785
1.515134292 -4.203654645
1.623776739 -3.663170239
1.740209374 -3.183057751
1.864990791 -2.758317179
1.998719639 -2.384059209
2.14203749 -2.055561225
2.295631924 -1.768312385
2.460239821 -1.518048123
2.636650899 -1.300774709
2.825711503 -1.112784773
3.028328666 -0.9506648082
3.245474457 -0.8112958081
3.478190651 -0.6918481693
3.72759372 -0.5897720054
3.994880194 -0.5027839273
4.281332399 -0.4288512665
4.58832461 -0.3661745998
4.917329646 -0.3131693174
5.269925932 -0.2684468521
5.647805074 -0.2307960698
6.052779976 -0.1991652129
6.486793535 -0.1726446853
6.951927962 -0.1504508856
7.450414774 -0.1319112174
7.984645498 -0.1164503468
8.557183145 -0.103577728
9.170774507 -0.09287638009
9.828363333 -0.08399286812
10.53310445 -0.07662842491
11.28837892 -0.07053113369
12.09781021 -0.06548908606
12.96528163 -0.06132442592
13.89495494 -0.05788819049
14.89129032 -0.05505586218
15.95906776 -0.05272354944
17.10341 -0.05080472057
18.32980711 -0.04922742029
19.64414281 -0.04793190582
21.05272273 -0.04686864518
22.56230463 -0.04599662735
24.18013085 -0.0452819392
25.91396301 -0.0446965703
27.77211932 -0.04421741117
29.76351442 -0.04382541568
31.89770215 -0.0435049019
34.18492146 -0.04324296973
36.63614544 -0.04302901659
39.26313402 -0.04285433523
42.07849036 -0.04271178037
45.09572136 -0.0425954927
48.32930239 -0.04250067067
51.79474679 -0.04242338197
55.5086803 -0.04236040816
59.48892078 -0.04230911647
63.75456372 -0.04226735443
68.32607387 -0.0422333631
