w F
0.0001 -0.1103852893
0.000107170483 -0.1103829376
0.0001148551242 -0.1103804173
0.0001230907914 -0.1103777165
0.0001319169956 -0.1103748222
0.0001413760814 -0.1103717204
0.0001515134292 -0.1103683965
0.0001623776739 -0.1103648344
0.0001740209374 -0.1103610172
0.0001864990791 -0.1103569265
0.0001998719639 -0.1103525429
0.000214203749 -0.1103478453
0.0002295631924 -0.1103428112
0.0002460239821 -0.1103374168
0.0002636650899 -0.110331636
0.0002825711503 -0.1103254415
0.0003028328666 -0.1103188035
0.0003245474457 -0.1103116904
0.0003478190651 -0.1103040682
0.000372759372 -0.1102959007
0.0003994880194 -0.1102871488
0.0004281332399 -0.1102777708
0.000458832461 -0.1102677221
0.0004917329646 -0.1102569549
0.0005269925932 -0.1102454179
0.0005647805074 -0.1102330563
0.0006052779976 -0.1102198113
0.0006486793535 -0.11020562
0.0006951927962 -0.1101904151
0.0007450414774 -0.1101741245
0.0007984645498 -0.110156671
0.0008557183145 -0.110137972
0.0009170774507 -0.1101179391
0.0009828363333 -0.1100964776
0.001053310445 -0.1100734863
0.001128837892 -0.1100488569
0.001209781021 -0.1100224733
0.001296528163 -0.1099942117
0.001389495494 -0.1099639394
0.001489129032 -0.1099315145
0.001595906776 -0.1098967853
0.001710341 -0.1098595898
0.001832980711 -0.1098197545
0.001964414281 -0.1097770942
0.002105272273 -0.109731411
0.002256230463 -0.1096824934
0.002418013085 -0.1096301156
0.002591396301 -0.1095740365
0.002777211932 -0.1095139987
0.002976351442 -0.1094497275
0.003189770215 -0.1093809299
0.003418492146 -0.1093072933
0.003663614544 -0.1092284846
0.003926313402 -0.1091441487
0.004207849036 -0.1090539076
0.004509572136 -0.1089573584
0.004832930239 -0.1088540727
0.005179474679 -0.1087435947
0.00555086803 -0.1086254397
0.005948892078 -0.1084990929
0.006375456372 -0.1083640078
0.006832607387 -0.1082196043
0.007322538338 -0.1080652676
0.007847599704 -0.1079003463
0.008410310505 -0.1077241512
0.00901337039 -0.1075359531
0.00965967258 -0.1073349823
0.01035231776 -0.1071204264
0.01109462894 -0.1068914292
0.01189016742 -0.1066470898
0.01274274986 -0.1063864615
0.01365646657 -0.1061085507
0.01463570118 -0.105812317
0.01568515164 -0.1054966722
0.01680985277 -0.1051604813
0.01801520041 -0.1048025625
0.01930697729 -0.1044216884
0.02069138081 -0.1040165878
0.02217505275 -0.1035859483
0.02376511114 -0.1031284189
0.02546918439 -0.1026426143
0.02729544792 -0.1021271199
0.02925266337 -0.1015804979
0.03135022063 -0.1010012945
0.03359818286 -0.1003880484
0.03600733485 -0.09973930128
0.03858923467 -0.09905360882
0.04135626918 -0.09832955454
0.04432171342 -0.09756576462
0.04749979435 -0.0967609249
0.05090575902 -0.09591379974
0.05455594781 -0.09502325283
0.05846787277 -0.09408826993
0.06266030164 -0.09310798355
0.06715334791 -0.09208169933
0.0719685673 -0.09100892413
0.07712906118 -0.08988939534
0.08265958739 -0.08872311135
0.08858667904 -0.08751036249
0.09493877179 -0.08625176206
0.1017463403 -0.08494827682
0.1090420443 -0.08360125603
0.1168608855 -0.08221245839
0.1252403755 -0.08078407582
0.1342207153 -0.079318753
0.1438449888 -0.0778196017
0.1541593693 -0.07629020867
0.1652133406 -0.07473463603
0.1770599351 -0.073157413
0.1897559877 -0.07156351819
0.2033624085 -0.06995835134
0.2179444754 -0.06834769432
0.2335721469 -0.06673766073
0.250320398 -0.06513463441
0.2682695795 -0.0635451972
