family,variant,step,T_C,K_HT,K_HT_se,K_DT,K_DT_se,note,source
LADH,L57F,hydride,25,7.31,0.05,1.83,0.01,Table 1 primary,Bahnson1997
LADH,F93W,hydride,25,7.76,0.03,1.86,0.01,Table 1 primary,Bahnson1997
LADH,V203L,hydride,25,7.82,0.08,1.89,0.01,Table 1 primary,Bahnson1997
LADH,V203A,hydride,25,7.24,0.06,1.88,0.02,Table 1 primary,Bahnson1997
LADH,V203A-F93W,hydride,25,7.65,0.06,1.91,0.02,Table 1 primary,Bahnson1997
LADH,V203G,hydride,25,7.53,0.03,1.9,0.01,Table 1 primary,Bahnson1997
