family,variant,step,T_C,K_HT,K_HT_se,K_DT,K_DT_se,note,source
YADH,wild type,hydride,25,7.15,0.17,1.72,0.03,Table 2 determination 1,Cha1989
YADH,wild type,hydride,25,7.00,0.07,1.70,0.03,Table 2 determination 2,Cha1989
YADH,wild type,hydride,25,7.23,0.10,1.76,0.03,Table 2 determination 3,Cha1989
YADH,wild type,hydride,25,7.13,0.07,1.73,0.02,Table 2 reported average,Cha1989
