system,step,T_C,T_K,isotope_pair,quantity,replicate,value,source_DOI,PMCID,source_table,license,rate_class
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,19,13.0,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,20,12.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,21,13.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,22,11.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,23,11.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,24,13.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,25,12.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,26,12.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,27,13.0,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,28,11.1,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,29,11.5,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,30,13.0,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,observed_competitive_KIE,1,2.75,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,observed_competitive_KIE,2,2.64,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,observed_competitive_KIE,3,2.73,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,observed_competitive_KIE,4,2.73,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,observed_competitive_KIE,5,2.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,D/T,observed_competitive_KIE,1,1.58,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,D/T,observed_competitive_KIE,2,1.58,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,D/T,observed_competitive_KIE,3,1.57,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,D/T,observed_competitive_KIE,4,1.55,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,D/T,observed_competitive_KIE,5,1.55,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,1,12.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,2,12.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,3,11.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,4,10.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
