T kht sh kdt sd zh zd
5 1.792 0.0131909 1.3675 0.00946485 -1.69246 -1.12104
15 1.7975 0.0143614 1.34571 0.00368856 -4.13819 -5.26172
25 1.5375 0.0110868 1.2325 0.00478714 15.1683 13.8943
35 1.90576 0.0153607 1.30957 0.00524281 -15.1516 -6.65415
