T kht sh kdt sd zh zd
5 2.362 0.0174356 1.49 0.00365148 0.0581813 0.600204
15 2.71 0.0192354 1.566 0.00678233 -0.684438 -1.36981
25 3.052 0.0139284 1.614 0.004 0.517279 -0.00170524
35 3.4425 0.0165202 1.66 0.0083666 -0.140083 0.384036
